deltaT,sdev,proxy,marine,latitude
-2.6,0.7,1,1,2.5
-2.6,0.8,1,1,2.2
-2.9,0.9,1,1,0.5
-2.4,0.7,1,1,0.3
-2.8,0.7,1,1,0.2
-1.2,0.3,1,1,-1.1
-2.4,1.3,1,1,5.2
-2.6,1.3,1,1,11.4
-2.4,1.3,1,1,14.6
-2.5,0.5,1,1,6.3
-3.3,0.6,1,1,-4.4
-2.0,0.7,2,1,3.1
-1.5,0.7,2,1,0
-3.5,1.5,2,1,9
-4.3,0.8,2,1,20.5
-1.5,0.15,2,1,-3.6
-2.0,0.15,2,1,18.0
-3.0,0.2,2,1,9.1
-1.2,0.2,2,1,-1.1
-2.0,0.4,2,1,0.6
-1.5,0.5,2,1,3.3
-2.5,0.3,2,1,5.0
-3.5,0.3,2,1,12.1
-1.8,0.6,2,1,0.0
-3.0,0.3,2,1,-6.3
-4.0,0.3,2,1,-20.1
-3.5,0.3,2,1,-11.5
-1.8,0.5,2,1,10.3
-2.2,0.5,2,1,-20.2
-3.0,1.5,2,1,19.0
-3.5,1.5,2,1,20.5
-0.1,1.2,3,1,0
-2.6,1.9,3,1,0
0.2,1.8,3,1,0
-1.8,1.8,3,1,0
-2.3,1.7,3,1,0
-2.5,1.7,3,1,0
-3.8,1.3,3,1,0
-1.4,1.3,3,1,0
-1.0,1.3,3,1,20.5
-2.3,0.8,3,1,21.4
-3.5,0.7,3,1,-17.5
-5,0.5,4,1,-20
-5,0.5,4,1,13.2
-6,0.5,4,1,-15.5
-3.6,0.6,5,1,-4.4
-1.0,0.7,5,1,-1.1
-0.4,0.4,5,1,28.4
-4,2.5,5,1,5.0
-6.3,0.9,5,1,0
-3.0,0.15,5,1,18
-3.5,1.5,5,1,-17.5
-5.5,0.5,6,0,-9.1
-6.5,1.5,7,0,-16
-5.5,0.5,7,0,0.2
-4.0,1,7,0,8.2
-7.0,1.0,7,0,16.6
-6.0,1,7,0,-22.5
-3.5,0.7,7,0,-17.5
-3.0,1.9,7,0,-3.3
-5.4,0.6,8,0,-7
-6.5,0.6,8,0,23.3
-5.2,0.5,8,0,29
